Sun May 26 13:52:55 2024    profile_results

         294071575 function calls (255962084 primitive calls) in 66.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   74.023   74.023 {built-in method builtins.exec}
        1    0.000    0.000   74.023   74.023 <string>:1(<module>)
        1    0.000    0.000   74.023   74.023 /Users/gregor30/Documents/Programmieren/Python/Hivemind/play_hive.py:7(main)
        6    0.000    0.000   74.023   12.337 /Users/gregor30/Documents/Programmieren/Python/Hivemind/ComputerPlayers.py:195(make_move)
  18235/6    0.055    0.000   74.010   12.335 /Users/gregor30/Documents/Programmieren/Python/Hivemind/ComputerPlayers.py:152(minimax)
    19366    0.177    0.000   42.857    0.002 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:119(all_legal_moves)
    18235    0.154    0.000   41.138    0.002 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:31(make_move)
   213026    0.120    0.000   36.790    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:684(legal_moves)
    18229    0.090    0.000   29.434    0.002 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:183(clone)
32723119/18229   14.588    0.000   29.344    0.002 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:128(deepcopy)
1459499/18229    1.745    0.000   29.262    0.002 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:259(_reconstruct)
1459499/18229    2.541    0.000   29.165    0.002 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:227(_deepcopy_dict)
2145695/72916    2.179    0.000   28.195    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:201(_deepcopy_list)
   141332    0.679    0.000   25.463    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:478(legal_placement_moves)
  1845758    1.329    0.000   13.770    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:469(check_contested)
  3571478    0.883    0.000   12.260    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:260(neighboring_hexes)
  1089577    0.515    0.000   12.102    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:496(__init__)
  1089577    1.929    0.000   11.587    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:504(generate_new_edge)
 14391391   11.502    0.000   11.502    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:248(get_piece)
  3571478    5.886    0.000   11.377    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:265(<listcomp>)
    29374    0.179    0.000   11.177    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:711(legal_movement)
   354358    2.545    0.000    9.645    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:454(edges)
    13838    0.018    0.000    6.097    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:853(legal_movement)
  1089577    2.198    0.000    4.104    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:506(<listcomp>)
   240516    0.249    0.000    3.513    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:771(try_move)
   385805    2.021    0.000    2.636    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:292(is_connected)
 62292374    2.519    0.000    2.519    0.000 {method 'get' of 'dict' objects}
   197558    0.419    0.000    2.418    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:657(reachable)
   199318    0.053    0.000    2.241    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:745(try_move)
   217650    0.463    0.000    1.648    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:599(is_legal_move)
   133142    0.089    0.000    1.620    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:841(is_legal_move)
 42870734    1.445    0.000    1.445    0.000 {built-in method builtins.id}
