Thu Sep 26 07:23:36 2024    profile_results

         179182232 function calls (158493215 primitive calls) in 45.145 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   51.696   51.696 {built-in method builtins.exec}
        1    0.000    0.000   51.696   51.696 <string>:1(<module>)
        1    0.000    0.000   51.696   51.696 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/profile_hive.py:17(main)
        6    0.000    0.000   51.695    8.616 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/ComputerPlayers.py:195(make_move)
  10883/6    0.035    0.000   51.681    8.613 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/ComputerPlayers.py:152(minimax)
    11692    0.104    0.000   34.168    0.003 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:119(all_legal_moves)
    10883    0.087    0.000   32.806    0.003 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:31(make_move)
   128612    0.081    0.000   31.059    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:684(legal_moves)
   113097    0.487    0.000   17.136    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:478(legal_placement_moves)
    10877    0.053    0.000   16.378    0.002 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:183(clone)
17752385/10877    8.095    0.000   16.326    0.002 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:128(deepcopy)
814648/10877    1.016    0.000   16.273    0.001 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:259(_reconstruct)
814648/10877    1.439    0.000   16.214    0.001 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:227(_deepcopy_dict)
1142864/43508    1.174    0.000   15.618    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copy.py:201(_deepcopy_list)
    15167    0.089    0.000   13.843    0.001 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:711(legal_movement)
    55086    0.032    0.000    9.774    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:643(try_move)
  1313732    0.936    0.000    9.734    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:469(check_contested)
  2696747    0.734    0.000    9.377    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:260(neighboring_hexes)
    32578    0.490    0.000    9.191    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:865(is_legal_move)
 11184367    8.949    0.000    8.949    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:248(get_piece)
  2696747    4.433    0.000    8.643    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:265(<listcomp>)
   563444    0.282    0.000    6.404    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:496(__init__)
   563444    1.029    0.000    6.121    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:504(generate_new_edge)
   490229    0.992    0.000    5.747    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:657(reachable)
   241709    1.536    0.000    5.566    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:454(edges)
